Year,AnnÈe,ISO,Jurisdiction,Juridiction,Month,Mois,Number,Data Qualifier,Nombre,Qualificatifs de donnÈes
1992,1992,AB,Alberta,Alberta,December,DÈcembre,4,a,4,a
1992,1992,AB,Alberta,Alberta,February,FÈvrier,11,a,11,a
1992,1992,AB,Alberta,Alberta,March,Mars,61,a,61,a
1992,1992,AB,Alberta,Alberta,April,Avril,110,a,110,a
1992,1992,AB,Alberta,Alberta,May,Mai,91,a,91,a
1992,1992,AB,Alberta,Alberta,June,Juin,147,a,147,a
1992,1992,AB,Alberta,Alberta,July,Juillet,221,a,221,a
1992,1992,AB,Alberta,Alberta,August,Ao˚t,339,a,339,a
1992,1992,AB,Alberta,Alberta,September,Septembre,14,a,14,a
1993,1993,AB,Alberta,Alberta,January,Janvier,8,a,8,a
1993,1993,AB,Alberta,Alberta,October,Octobre,19,a,19,a
1993,1993,AB,Alberta,Alberta,November,Novembre,7,a,7,a
1993,1993,AB,Alberta,Alberta,December,DÈcembre,1,a,1,a
1993,1993,AB,Alberta,Alberta,February,FÈvrier,12,a,12,a
1993,1993,AB,Alberta,Alberta,March,Mars,28,a,28,a
1993,1993,AB,Alberta,Alberta,April,Avril,52,a,52,a
1993,1993,AB,Alberta,Alberta,May,Mai,241,a,241,a
1993,1993,AB,Alberta,Alberta,June,Juin,314,a,314,a
1993,1993,AB,Alberta,Alberta,July,Juillet,108,a,108,a
1993,1993,AB,Alberta,Alberta,August,Ao˚t,35,a,35,a
1993,1993,AB,Alberta,Alberta,September,Septembre,17,a,17,a
1994,1994,AB,Alberta,Alberta,January,Janvier,4,a,4,a
1994,1994,AB,Alberta,Alberta,October,Octobre,25,a,25,a
1994,1994,AB,Alberta,Alberta,November,Novembre,30,a,30,a
1994,1994,AB,Alberta,Alberta,December,DÈcembre,9,a,9,a
1994,1994,AB,Alberta,Alberta,March,Mars,12,a,12,a
1994,1994,AB,Alberta,Alberta,April,Avril,64,a,64,a
1994,1994,AB,Alberta,Alberta,May,Mai,131,a,131,a
1994,1994,AB,Alberta,Alberta,June,Juin,206,a,206,a
1994,1994,AB,Alberta,Alberta,July,Juillet,210,a,210,a
1994,1994,AB,Alberta,Alberta,August,Ao˚t,105,a,105,a
1994,1994,AB,Alberta,Alberta,September,Septembre,81,a,81,a
1995,1995,AB,Alberta,Alberta,January,Janvier,10,a,10,a
1995,1995,AB,Alberta,Alberta,October,Octobre,33,a,33,a
1995,1995,AB,Alberta,Alberta,November,Novembre,4,a,4,a
1995,1995,AB,Alberta,Alberta,February,FÈvrier,6,a,6,a
1995,1995,AB,Alberta,Alberta,March,Mars,29,a,29,a
1995,1995,AB,Alberta,Alberta,April,Avril,57,a,57,a
1995,1995,AB,Alberta,Alberta,May,Mai,213,a,213,a
1995,1995,AB,Alberta,Alberta,June,Juin,267,a,267,a
1995,1995,AB,Alberta,Alberta,July,Juillet,95,a,95,a
1995,1995,AB,Alberta,Alberta,August,Ao˚t,26,a,26,a
1995,1995,AB,Alberta,Alberta,September,Septembre,58,a,58,a
1996,1996,AB,Alberta,Alberta,January,Janvier,1,a,1,a
1996,1996,AB,Alberta,Alberta,October,Octobre,7,a,7,a
1996,1996,AB,Alberta,Alberta,November,Novembre,2,a,2,a
1996,1996,AB,Alberta,Alberta,December,DÈcembre,2,a,2,a
1996,1996,AB,Alberta,Alberta,March,Mars,1,a,1,a
1996,1996,AB,Alberta,Alberta,April,Avril,26,a,26,a
1996,1996,AB,Alberta,Alberta,May,Mai,56,a,56,a
1996,1996,AB,Alberta,Alberta,June,Juin,106,a,106,a
1996,1996,AB,Alberta,Alberta,July,Juillet,86,a,86,a
1996,1996,AB,Alberta,Alberta,August,Ao˚t,75,a,75,a
1996,1996,AB,Alberta,Alberta,September,Septembre,14,a,14,a
1997,1997,AB,Alberta,Alberta,January,Janvier,1,a,1,a
1997,1997,AB,Alberta,Alberta,October,Octobre,3,a,3,a
1997,1997,AB,Alberta,Alberta,November,Novembre,1,a,1,a
1997,1997,AB,Alberta,Alberta,December,DÈcembre,32,a,32,a
1997,1997,AB,Alberta,Alberta,March,Mars,4,a,4,a
1997,1997,AB,Alberta,Alberta,April,Avril,24,a,24,a
1997,1997,AB,Alberta,Alberta,May,Mai,120,a,120,a
1997,1997,AB,Alberta,Alberta,June,Juin,32,a,32,a
1997,1997,AB,Alberta,Alberta,July,Juillet,143,a,143,a
1997,1997,AB,Alberta,Alberta,August,Ao˚t,79,a,79,a
1997,1997,AB,Alberta,Alberta,September,Septembre,17,a,17,a
1998,1998,AB,Alberta,Alberta,October,Octobre,60,a,60,a
1998,1998,AB,Alberta,Alberta,November,Novembre,10,a,10,a
1998,1998,AB,Alberta,Alberta,December,DÈcembre,9,a,9,a
1998,1998,AB,Alberta,Alberta,March,Mars,2,a,2,a
1998,1998,AB,Alberta,Alberta,April,Avril,152,a,152,a
1998,1998,AB,Alberta,Alberta,May,Mai,402,a,402,a
1998,1998,AB,Alberta,Alberta,June,Juin,261,a,261,a
1998,1998,AB,Alberta,Alberta,July,Juillet,186,a,186,a
1998,1998,AB,Alberta,Alberta,August,Ao˚t,533,a,533,a
1998,1998,AB,Alberta,Alberta,September,Septembre,83,a,83,a
1999,1999,AB,Alberta,Alberta,January,Janvier,4,a,4,a
1999,1999,AB,Alberta,Alberta,October,Octobre,84,a,84,a
1999,1999,AB,Alberta,Alberta,November,Novembre,29,a,29,a
1999,1999,AB,Alberta,Alberta,December,DÈcembre,28,a,28,a
1999,1999,AB,Alberta,Alberta,March,Mars,5,a,5,a
1999,1999,AB,Alberta,Alberta,April,Avril,133,a,133,a
1999,1999,AB,Alberta,Alberta,May,Mai,119,a,119,a
1999,1999,AB,Alberta,Alberta,June,Juin,207,a,207,a
1999,1999,AB,Alberta,Alberta,July,Juillet,275,a,275,a
1999,1999,AB,Alberta,Alberta,August,Ao˚t,427,a,427,a
1999,1999,AB,Alberta,Alberta,September,Septembre,44,a,44,a
2000,2000,AB,Alberta,Alberta,January,Janvier,8,a,8,a
2000,2000,AB,Alberta,Alberta,October,Octobre,14,a,14,a
2000,2000,AB,Alberta,Alberta,November,Novembre,5,a,5,a
2000,2000,AB,Alberta,Alberta,December,DÈcembre,1,a,1,a
2000,2000,AB,Alberta,Alberta,February,FÈvrier,8,a,8,a
2000,2000,AB,Alberta,Alberta,March,Mars,28,a,28,a
2000,2000,AB,Alberta,Alberta,April,Avril,134,a,134,a
2000,2000,AB,Alberta,Alberta,May,Mai,104,a,104,a
2000,2000,AB,Alberta,Alberta,June,Juin,242,a,242,a
2000,2000,AB,Alberta,Alberta,July,Juillet,163,a,163,a
2000,2000,AB,Alberta,Alberta,August,Ao˚t,66,a,66,a
2000,2000,AB,Alberta,Alberta,September,Septembre,10,a,10,a
2001,2001,AB,Alberta,Alberta,January,Janvier,4,a,4,a
2001,2001,AB,Alberta,Alberta,October,Octobre,56,a,56,a
2001,2001,AB,Alberta,Alberta,November,Novembre,22,a,22,a
2001,2001,AB,Alberta,Alberta,December,DÈcembre,10,a,10,a
2001,2001,AB,Alberta,Alberta,February,FÈvrier,2,a,2,a
2001,2001,AB,Alberta,Alberta,March,Mars,27,a,27,a
2001,2001,AB,Alberta,Alberta,April,Avril,76,a,76,a
2001,2001,AB,Alberta,Alberta,May,Mai,281,a,281,a
2001,2001,AB,Alberta,Alberta,June,Juin,174,a,174,a
2001,2001,AB,Alberta,Alberta,July,Juillet,186,a,186,a
2001,2001,AB,Alberta,Alberta,August,Ao˚t,83,a,83,a
2001,2001,AB,Alberta,Alberta,September,Septembre,53,a,53,a
2002,2002,AB,Alberta,Alberta,January,Janvier,10,a,10,a
2002,2002,AB,Alberta,Alberta,October,Octobre,22,a,22,a
2002,2002,AB,Alberta,Alberta,November,Novembre,19,a,19,a
2002,2002,AB,Alberta,Alberta,December,DÈcembre,5,a,5,a
2002,2002,AB,Alberta,Alberta,February,FÈvrier,3,a,3,a
2002,2002,AB,Alberta,Alberta,March,Mars,3,a,3,a
2002,2002,AB,Alberta,Alberta,April,Avril,32,a,32,a
2002,2002,AB,Alberta,Alberta,May,Mai,256,a,256,a
2002,2002,AB,Alberta,Alberta,June,Juin,567,a,567,a
2002,2002,AB,Alberta,Alberta,July,Juillet,352,a,352,a
2002,2002,AB,Alberta,Alberta,August,Ao˚t,118,a,118,a
2002,2002,AB,Alberta,Alberta,September,Septembre,58,a,58,a
2003,2003,AB,Alberta,Alberta,January,Janvier,13,a,13,a
2003,2003,AB,Alberta,Alberta,October,Octobre,57,a,57,a
2003,2003,AB,Alberta,Alberta,November,Novembre,14,a,14,a
2003,2003,AB,Alberta,Alberta,December,DÈcembre,7,a,7,a
2003,2003,AB,Alberta,Alberta,February,FÈvrier,4,a,4,a
2003,2003,AB,Alberta,Alberta,April,Avril,32,a,32,a
2003,2003,AB,Alberta,Alberta,May,Mai,263,a,263,a
2003,2003,AB,Alberta,Alberta,June,Juin,200,a,200,a
2003,2003,AB,Alberta,Alberta,July,Juillet,309,a,309,a
2003,2003,AB,Alberta,Alberta,August,Ao˚t,234,a,234,a
2003,2003,AB,Alberta,Alberta,September,Septembre,58,a,58,a
2004,2004,AB,Alberta,Alberta,January,Janvier,3,a,3,a
2004,2004,AB,Alberta,Alberta,October,Octobre,27,a,27,a
2004,2004,AB,Alberta,Alberta,November,Novembre,3,a,3,a
2004,2004,AB,Alberta,Alberta,December,DÈcembre,2,a,2,a
2004,2004,AB,Alberta,Alberta,February,FÈvrier,3,a,3,a
2004,2004,AB,Alberta,Alberta,March,Mars,8,a,8,a
2004,2004,AB,Alberta,Alberta,April,Avril,228,a,228,a
2004,2004,AB,Alberta,Alberta,May,Mai,297,a,297,a
2004,2004,AB,Alberta,Alberta,June,Juin,270,a,270,a
2004,2004,AB,Alberta,Alberta,July,Juillet,613,a,613,a
2004,2004,AB,Alberta,Alberta,August,Ao˚t,115,a,115,a
2004,2004,AB,Alberta,Alberta,September,Septembre,42,a,42,a
2005,2005,AB,Alberta,Alberta,January,Janvier,3,a,3,a
2005,2005,AB,Alberta,Alberta,October,Octobre,34,a,34,a
2005,2005,AB,Alberta,Alberta,November,Novembre,30,a,30,a
2005,2005,AB,Alberta,Alberta,December,DÈcembre,9,a,9,a
2005,2005,AB,Alberta,Alberta,February,FÈvrier,8,a,8,a
2005,2005,AB,Alberta,Alberta,March,Mars,4,a,4,a
2005,2005,AB,Alberta,Alberta,April,Avril,200,a,200,a
2005,2005,AB,Alberta,Alberta,May,Mai,438,a,438,a
2005,2005,AB,Alberta,Alberta,June,Juin,261,a,261,a
2005,2005,AB,Alberta,Alberta,July,Juillet,238,a,238,a
2005,2005,AB,Alberta,Alberta,August,Ao˚t,85,a,85,a
2005,2005,AB,Alberta,Alberta,September,Septembre,64,a,64,a
2006,2006,AB,Alberta,Alberta,January,Janvier,22,a,22,a
2006,2006,AB,Alberta,Alberta,October,Octobre,56,a,56,a
2006,2006,AB,Alberta,Alberta,November,Novembre,6,a,6,a
2006,2006,AB,Alberta,Alberta,December,DÈcembre,4,a,4,a
2006,2006,AB,Alberta,Alberta,February,FÈvrier,19,a,19,a
2006,2006,AB,Alberta,Alberta,March,Mars,48,a,48,a
2006,2006,AB,Alberta,Alberta,April,Avril,350,a,350,a
2006,2006,AB,Alberta,Alberta,May,Mai,388,a,388,a
2006,2006,AB,Alberta,Alberta,June,Juin,325,a,325,a
2006,2006,AB,Alberta,Alberta,July,Juillet,521,a,521,a
2006,2006,AB,Alberta,Alberta,August,Ao˚t,149,a,149,a
2006,2006,AB,Alberta,Alberta,September,Septembre,139,a,139,a
2007,2007,AB,Alberta,Alberta,January,Janvier,6,a,6,a
2007,2007,AB,Alberta,Alberta,October,Octobre,59,a,59,a
2007,2007,AB,Alberta,Alberta,November,Novembre,26,a,26,a
2007,2007,AB,Alberta,Alberta,December,DÈcembre,5,a,5,a
2007,2007,AB,Alberta,Alberta,February,FÈvrier,3,a,3,a
2007,2007,AB,Alberta,Alberta,March,Mars,7,a,7,a
2007,2007,AB,Alberta,Alberta,April,Avril,126,a,126,a
2007,2007,AB,Alberta,Alberta,May,Mai,233,a,233,a
2007,2007,AB,Alberta,Alberta,June,Juin,257,a,257,a
2007,2007,AB,Alberta,Alberta,July,Juillet,394,a,394,a
2007,2007,AB,Alberta,Alberta,August,Ao˚t,157,a,157,a
2007,2007,AB,Alberta,Alberta,September,Septembre,64,a,64,a
2008,2008,AB,Alberta,Alberta,January,Janvier,8,a,8,a
2008,2008,AB,Alberta,Alberta,October,Octobre,86,a,86,a
2008,2008,AB,Alberta,Alberta,November,Novembre,20,a,20,a
2008,2008,AB,Alberta,Alberta,December,DÈcembre,1,a,1,a
2008,2008,AB,Alberta,Alberta,February,FÈvrier,3,a,3,a
2008,2008,AB,Alberta,Alberta,March,Mars,17,a,17,a
2008,2008,AB,Alberta,Alberta,April,Avril,102,a,102,a
2008,2008,AB,Alberta,Alberta,May,Mai,438,a,438,a
2008,2008,AB,Alberta,Alberta,June,Juin,339,a,339,a
2008,2008,AB,Alberta,Alberta,July,Juillet,412,a,412,a
2008,2008,AB,Alberta,Alberta,August,Ao˚t,221,a,221,a
2008,2008,AB,Alberta,Alberta,September,Septembre,75,a,75,a
2009,2009,AB,Alberta,Alberta,January,Janvier,7,a,7,a
2009,2009,AB,Alberta,Alberta,October,Octobre,44,a,44,a
2009,2009,AB,Alberta,Alberta,November,Novembre,16,a,16,a
2009,2009,AB,Alberta,Alberta,December,DÈcembre,5,a,5,a
2009,2009,AB,Alberta,Alberta,February,FÈvrier,9,a,9,a
2009,2009,AB,Alberta,Alberta,March,Mars,2,a,2,a
2009,2009,AB,Alberta,Alberta,April,Avril,126,a,126,a
2009,2009,AB,Alberta,Alberta,May,Mai,490,a,490,a
2009,2009,AB,Alberta,Alberta,June,Juin,454,a,454,a
2009,2009,AB,Alberta,Alberta,July,Juillet,170,a,170,a
2009,2009,AB,Alberta,Alberta,August,Ao˚t,178,a,178,a
2009,2009,AB,Alberta,Alberta,September,Septembre,172,a,172,a
2010,2010,AB,Alberta,Alberta,January,Janvier,5,a,5,a
2010,2010,AB,Alberta,Alberta,October,Octobre,60,a,60,a
2010,2010,AB,Alberta,Alberta,November,Novembre,24,a,24,a
2010,2010,AB,Alberta,Alberta,December,DÈcembre,2,a,2,a
2010,2010,AB,Alberta,Alberta,February,FÈvrier,4,a,4,a
2010,2010,AB,Alberta,Alberta,March,Mars,46,a,46,a
2010,2010,AB,Alberta,Alberta,April,Avril,334,a,334,a
2010,2010,AB,Alberta,Alberta,May,Mai,378,a,378,a
2010,2010,AB,Alberta,Alberta,June,Juin,335,a,335,a
2010,2010,AB,Alberta,Alberta,July,Juillet,488,a,488,a
2010,2010,AB,Alberta,Alberta,August,Ao˚t,171,a,171,a
2010,2010,AB,Alberta,Alberta,September,Septembre,45,a,45,a
2011,2011,AB,Alberta,Alberta,January,Janvier,2,a,2,a
2011,2011,AB,Alberta,Alberta,October,Octobre,43,a,43,a
2011,2011,AB,Alberta,Alberta,November,Novembre,28,a,28,a
2011,2011,AB,Alberta,Alberta,December,DÈcembre,3,a,3,a
2011,2011,AB,Alberta,Alberta,March,Mars,1,a,1,a
2011,2011,AB,Alberta,Alberta,April,Avril,137,a,137,a
2011,2011,AB,Alberta,Alberta,May,Mai,403,a,403,a
2011,2011,AB,Alberta,Alberta,June,Juin,109,a,109,a
2011,2011,AB,Alberta,Alberta,July,Juillet,172,a,172,a
2011,2011,AB,Alberta,Alberta,August,Ao˚t,154,a,154,a
2011,2011,AB,Alberta,Alberta,September,Septembre,121,a,121,a
2012,2012,AB,Alberta,Alberta,January,Janvier,14,a,14,a
2012,2012,AB,Alberta,Alberta,October,Octobre,40,a,40,a
2012,2012,AB,Alberta,Alberta,November,Novembre,2,a,2,a
2012,2012,AB,Alberta,Alberta,February,FÈvrier,3,a,3,a
2012,2012,AB,Alberta,Alberta,March,Mars,31,a,31,a
2012,2012,AB,Alberta,Alberta,April,Avril,122,a,122,a
2012,2012,AB,Alberta,Alberta,May,Mai,454,a,454,a
2012,2012,AB,Alberta,Alberta,June,Juin,118,a,118,a
2012,2012,AB,Alberta,Alberta,July,Juillet,385,a,385,a
2012,2012,AB,Alberta,Alberta,August,Ao˚t,266,a,266,a
2012,2012,AB,Alberta,Alberta,September,Septembre,170,a,170,a
2013,2013,AB,Alberta,Alberta,January,Janvier,1,a,1,a
2013,2013,AB,Alberta,Alberta,October,Octobre,25,a,25,a
2013,2013,AB,Alberta,Alberta,November,Novembre,13,a,13,a
2013,2013,AB,Alberta,Alberta,December,DÈcembre,1,a,1,a
2013,2013,AB,Alberta,Alberta,February,FÈvrier,2,a,2,a
2013,2013,AB,Alberta,Alberta,March,Mars,9,a,9,a
2013,2013,AB,Alberta,Alberta,April,Avril,35,a,35,a
2013,2013,AB,Alberta,Alberta,May,Mai,524,a,524,a
2013,2013,AB,Alberta,Alberta,June,Juin,121,a,121,a
2013,2013,AB,Alberta,Alberta,July,Juillet,193,a,193,a
2013,2013,AB,Alberta,Alberta,August,Ao˚t,164,a,164,a
2013,2013,AB,Alberta,Alberta,September,Septembre,130,a,130,a
2014,2014,AB,Alberta,Alberta,January,Janvier,8,a,8,a
2014,2014,AB,Alberta,Alberta,October,Octobre,39,a,39,a
2014,2014,AB,Alberta,Alberta,November,Novembre,15,a,15,a
2014,2014,AB,Alberta,Alberta,December,DÈcembre,2,a,2,a
2014,2014,AB,Alberta,Alberta,March,Mars,11,a,11,a
2014,2014,AB,Alberta,Alberta,April,Avril,80,a,80,a
2014,2014,AB,Alberta,Alberta,May,Mai,359,a,359,a
2014,2014,AB,Alberta,Alberta,June,Juin,264,a,264,a
2014,2014,AB,Alberta,Alberta,July,Juillet,311,a,311,a
2014,2014,AB,Alberta,Alberta,August,Ao˚t,249,a,249,a
2014,2014,AB,Alberta,Alberta,September,Septembre,113,a,113,a
2015,2015,AB,Alberta,Alberta,January,Janvier,2,a,2,a
2015,2015,AB,Alberta,Alberta,October,Octobre,62,a,62,a
2015,2015,AB,Alberta,Alberta,November,Novembre,23,a,23,a
2015,2015,AB,Alberta,Alberta,December,DÈcembre,8,a,8,a
2015,2015,AB,Alberta,Alberta,February,FÈvrier,4,a,4,a
2015,2015,AB,Alberta,Alberta,March,Mars,32,a,32,a
2015,2015,AB,Alberta,Alberta,April,Avril,272,a,272,a
2015,2015,AB,Alberta,Alberta,May,Mai,493,a,493,a
2015,2015,AB,Alberta,Alberta,June,Juin,459,a,459,a
2015,2015,AB,Alberta,Alberta,July,Juillet,300,a,300,a
2015,2015,AB,Alberta,Alberta,August,Ao˚t,149,a,149,a
2015,2015,AB,Alberta,Alberta,September,Septembre,52,a,52,a
2016,2016,AB,Alberta,Alberta,January,Janvier,7,a,7,a
2016,2016,AB,Alberta,Alberta,October,Octobre,13,a,13,a
2016,2016,AB,Alberta,Alberta,November,Novembre,12,a,12,a
2016,2016,AB,Alberta,Alberta,December,DÈcembre,4,a,4,a
2016,2016,AB,Alberta,Alberta,February,FÈvrier,12,a,12,a
2016,2016,AB,Alberta,Alberta,March,Mars,61,a,61,a
2016,2016,AB,Alberta,Alberta,April,Avril,282,a,282,a
2016,2016,AB,Alberta,Alberta,May,Mai,247,a,247,a
2016,2016,AB,Alberta,Alberta,June,Juin,391,a,391,a
2016,2016,AB,Alberta,Alberta,July,Juillet,204,a,204,a
2016,2016,AB,Alberta,Alberta,August,Ao˚t,122,a,122,a
2016,2016,AB,Alberta,Alberta,September,Septembre,81,a,81,a
2017,2017,AB,Alberta,Alberta,January,Janvier,3,a,3,a
2017,2017,AB,Alberta,Alberta,October,Octobre,49,a,49,a
2017,2017,AB,Alberta,Alberta,November,Novembre,5,a,5,a
2017,2017,AB,Alberta,Alberta,December,DÈcembre,3,a,3,a
2017,2017,AB,Alberta,Alberta,February,FÈvrier,3,a,3,a
2017,2017,AB,Alberta,Alberta,March,Mars,14,a,14,a
2017,2017,AB,Alberta,Alberta,April,Avril,97,a,97,a
2017,2017,AB,Alberta,Alberta,May,Mai,329,a,329,a
2017,2017,AB,Alberta,Alberta,June,Juin,164,a,164,a
2017,2017,AB,Alberta,Alberta,July,Juillet,257,a,257,a
2017,2017,AB,Alberta,Alberta,August,Ao˚t,247,a,247,a
2017,2017,AB,Alberta,Alberta,September,Septembre,73,a,73,a
2018,2018,AB,Alberta,Alberta,January,Janvier,2,a,2,a
2018,2018,AB,Alberta,Alberta,October,Octobre,51,a,51,a
2018,2018,AB,Alberta,Alberta,November,Novembre,6,a,6,a
2018,2018,AB,Alberta,Alberta,December,DÈcembre,3,a,3,a
2018,2018,AB,Alberta,Alberta,March,Mars,18,a,18,a
2018,2018,AB,Alberta,Alberta,April,Avril,95,a,95,a
2018,2018,AB,Alberta,Alberta,May,Mai,438,a,438,a
2018,2018,AB,Alberta,Alberta,June,Juin,320,a,320,a
2018,2018,AB,Alberta,Alberta,July,Juillet,147,a,147,a
2018,2018,AB,Alberta,Alberta,August,Ao˚t,160,a,160,a
2018,2018,AB,Alberta,Alberta,September,Septembre,59,a,59,a
2019,2019,AB,Alberta,Alberta,January,Janvier,14,a,14,a
2019,2019,AB,Alberta,Alberta,October,Octobre,16,a,16,a
2019,2019,AB,Alberta,Alberta,November,Novembre,1,a,1,a
2019,2019,AB,Alberta,Alberta,December,DÈcembre,1,a,1,a
2019,2019,AB,Alberta,Alberta,February,FÈvrier,1,a,1,a
2019,2019,AB,Alberta,Alberta,March,Mars,34,a,34,a
2019,2019,AB,Alberta,Alberta,April,Avril,182,a,182,a
2019,2019,AB,Alberta,Alberta,May,Mai,306,a,306,a
2019,2019,AB,Alberta,Alberta,June,Juin,172,a,172,a
2019,2019,AB,Alberta,Alberta,July,Juillet,192,a,192,a
2019,2019,AB,Alberta,Alberta,August,Ao˚t,73,a,73,a
2019,2019,AB,Alberta,Alberta,September,Septembre,29,a,29,a
1990,1990,BC,British Columbia,Colombie-Britannique,October,Octobre,60,a,60,a
1990,1990,BC,British Columbia,Colombie-Britannique,November,Novembre,6,a,6,a
1990,1990,BC,British Columbia,Colombie-Britannique,February,FÈvrier,3,a,3,a
1990,1990,BC,British Columbia,Colombie-Britannique,March,Mars,35,a,35,a
1990,1990,BC,British Columbia,Colombie-Britannique,April,Avril,147,a,147,a
1990,1990,BC,British Columbia,Colombie-Britannique,May,Mai,235,a,235,a
1990,1990,BC,British Columbia,Colombie-Britannique,June,Juin,95,a,95,a
1990,1990,BC,British Columbia,Colombie-Britannique,July,Juillet,775,a,775,a
1990,1990,BC,British Columbia,Colombie-Britannique,August,Ao˚t,1563,a,1563,a
1990,1990,BC,British Columbia,Colombie-Britannique,September,Septembre,336,a,336,a
1991,1991,BC,British Columbia,Colombie-Britannique,January,Janvier,2,a,2,a
1991,1991,BC,British Columbia,Colombie-Britannique,October,Octobre,248,a,248,a
1991,1991,BC,British Columbia,Colombie-Britannique,November,Novembre,5,a,5,a
1991,1991,BC,British Columbia,Colombie-Britannique,February,FÈvrier,5,a,5,a
1991,1991,BC,British Columbia,Colombie-Britannique,March,Mars,25,a,25,a
1991,1991,BC,British Columbia,Colombie-Britannique,April,Avril,204,a,204,a
1991,1991,BC,British Columbia,Colombie-Britannique,May,Mai,193,a,193,a
1991,1991,BC,British Columbia,Colombie-Britannique,June,Juin,291,a,291,a
1991,1991,BC,British Columbia,Colombie-Britannique,July,Juillet,296,a,296,a
1991,1991,BC,British Columbia,Colombie-Britannique,August,Ao˚t,572,a,572,a
1991,1991,BC,British Columbia,Colombie-Britannique,September,Septembre,172,a,172,a
1992,1992,BC,British Columbia,Colombie-Britannique,January,Janvier,6,a,6,a
1992,1992,BC,British Columbia,Colombie-Britannique,October,Octobre,126,a,126,a
1992,1992,BC,British Columbia,Colombie-Britannique,November,Novembre,4,a,4,a
1992,1992,BC,British Columbia,Colombie-Britannique,December,DÈcembre,1,a,1,a
1992,1992,BC,British Columbia,Colombie-Britannique,February,FÈvrier,2,a,2,a
1992,1992,BC,British Columbia,Colombie-Britannique,March,Mars,70,a,70,a
1992,1992,BC,British Columbia,Colombie-Britannique,April,Avril,155,a,155,a
1992,1992,BC,British Columbia,Colombie-Britannique,May,Mai,243,a,243,a
1992,1992,BC,British Columbia,Colombie-Britannique,June,Juin,705,a,705,a
1992,1992,BC,British Columbia,Colombie-Britannique,July,Juillet,493,a,493,a
1992,1992,BC,British Columbia,Colombie-Britannique,August,Ao˚t,1803,a,1803,a
1992,1992,BC,British Columbia,Colombie-Britannique,September,Septembre,197,a,197,a
1993,1993,BC,British Columbia,Colombie-Britannique,January,Janvier,3,a,3,a
1993,1993,BC,British Columbia,Colombie-Britannique,October,Octobre,119,a,119,a
1993,1993,BC,British Columbia,Colombie-Britannique,November,Novembre,10,a,10,a
1993,1993,BC,British Columbia,Colombie-Britannique,February,FÈvrier,16,a,16,a
1993,1993,BC,British Columbia,Colombie-Britannique,March,Mars,34,a,34,a
1993,1993,BC,British Columbia,Colombie-Britannique,April,Avril,77,a,77,a
1993,1993,BC,British Columbia,Colombie-Britannique,May,Mai,322,a,322,a
1993,1993,BC,British Columbia,Colombie-Britannique,June,Juin,189,a,189,a
1993,1993,BC,British Columbia,Colombie-Britannique,July,Juillet,153,a,153,a
1993,1993,BC,British Columbia,Colombie-Britannique,August,Ao˚t,274,a,274,a
1993,1993,BC,British Columbia,Colombie-Britannique,September,Septembre,300,a,300,a
1994,1994,BC,British Columbia,Colombie-Britannique,January,Janvier,6,a,6,a
1994,1994,BC,British Columbia,Colombie-Britannique,October,Octobre,70,a,70,a
1994,1994,BC,British Columbia,Colombie-Britannique,November,Novembre,1,a,1,a
1994,1994,BC,British Columbia,Colombie-Britannique,February,FÈvrier,2,a,2,a
1994,1994,BC,British Columbia,Colombie-Britannique,March,Mars,66,a,66,a
